timestamp,userid,bookid,rating
2005-04-22,1419760,1018776,4
2005-04-05,221281,1009393,4
2005-04-20,1229162,1014825,5
2005-05-20,1138844,1015452,3
2005-06-12,1229162,1048851,4
2005-06-12,1229162,1101529,4
2005-04-07,1419760,1009170,4
2005-04-09,1419760,1007914,4
2005-05-11,1138844,1014815,4
2005-06-12,1229162,1291206,4
2005-04-18,1365793,1014964,4
2005-05-11,1138844,1002384,4
2005-06-03,577279,1011754,5
2005-05-07,577279,1032736,4
2005-04-10,1365793,1030898,5
2005-04-07,1419760,1004153,4
2005-06-12,1229162,1059133,3
2005-04-20,1229162,1029640,4
2005-04-12,1229162,1002815,4
2005-05-25,956913,1015189,4
